20240907 群: 719790842,#genre#
央视频道,#genre#
CCTV电视指南,
CCTV电视指南,http://183.61.247.138/hlslive-tx-cdn.ysp.cctv.cn/ysp/2024172503.m3u8
CCTV电视指南,http://112.25.105.140/sx.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2012514003.m3u8
CCTV电视指南,http://43.132.64.50/outlivecloud-cdn.ysp.cctv.cn/ysp/2024172503.m3u8
CCTV第一剧场,
CCTV第一剧场,http://183.61.247.138/hlslive-tx-cdn.ysp.cctv.cn/ysp/2024171803.m3u8
CCTV第一剧场,http://112.25.105.140/sx.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2012514403.m3u8
CCTV第一剧场,http://43.132.64.50/outlivecloud-cdn.ysp.cctv.cn/ysp/2024171803.m3u8
CCTV第一剧场,http://video.qd.sdu.edu.cn/liverespath/04f389aeb26e4e95684afeee02f094deafe00af3/index.m3u8
CCTV怀旧剧场,
CCTV怀旧剧场,http://183.61.247.138/hlslive-tx-cdn.ysp.cctv.cn/ysp/2024171903.m3u8
CCTV怀旧剧场,http://112.25.105.140/sx.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2012511203.m3u8
CCTV怀旧剧场,http://43.132.64.50/outlivecloud-cdn.ysp.cctv.cn/ysp/2024171903.m3u8
CCTV怀旧剧场,http://video.qd.sdu.edu.cn/liverespath/194d8f435913ec8413369b8b54029ff3c9a72cb7/index.m3u8
CCTV兵器科技,
CCTV兵器科技,http://183.61.247.138/hlslive-tx-cdn.ysp.cctv.cn/ysp/2024172103.m3u8
CCTV兵器科技,http://112.25.105.140/sx.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2012513403.m3u8
CCTV兵器科技,http://43.132.64.50/outlivecloud-cdn.ysp.cctv.cn/ysp/2024172103.m3u8
CCTV兵器科技,http://video.qd.sdu.edu.cn/liverespath/10eff5109cadc23434329348ad589e332c194530/index.m3u8
CCTV世界地理,
CCTV世界地理,http://183.61.247.138/hlslive-tx-cdn.ysp.cctv.cn/ysp/2024172003.m3u8
CCTV世界地理,http://112.25.105.140/sx.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2012513303.m3u8
CCTV世界地理,http://43.132.64.50/outlivecloud-cdn.ysp.cctv.cn/ysp/2024172003.m3u8
CCTV世界地理,http://video.qd.sdu.edu.cn/liverespath/ed97b8c80f70e495182e4082d79af981692f1d4e/index.m3u8
CCTV世界地理,http://www.tvzb.com/iptv/tvzb82.php?id=sjdl
CCTV世界地理,https://epg.pw/stream/a21d3b2c0fb8bedc944540de165684096fba12a38f2320b2432ff9db7a01dd03.m3u8
CCTV女性时尚,
CCTV女性时尚,http://183.61.247.138/hlslive-tx-cdn.ysp.cctv.cn/ysp/2024172203.m3u8
CCTV女性时尚,http://112.25.105.140/sx.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2012513903.m3u8
